Time,X-Position Left Eye,Y-Position Left Eye,Events in the trial,X-Position Rigth Eye,Y-Position Rigth Eye,Saccades,Pupilsize,Blinks
692,958.200012207031,927.299987792969,0,999,918,0,1241,0
693,959.200012207031,927.200012207031,0,999,918.299987792969,0,1240,0
694,959.400024414062,927.200012207031,0,999.200012207031,918.400024414062,0,1239,0
695,958.5,926.900024414062,0,999.099975585938,918.5,0,1240,0
696,957.799987792969,926.700012207031,0,999.099975585938,918.700012207031,0,1241,0
697,957.900024414062,926.400024414062,0,998.700012207031,918.799987792969,0,1241,0
698,959.5,926.400024414062,0,998.5,918.799987792969,0,1243,0
699,961,926.799987792969,0,998.400024414062,918.900024414062,0,1244,0
700,962,927.299987792969,0,998.5,919.200012207031,0,1244,0
701,961.5,927.799987792969,0,998.700012207031,919.400024414062,0,1243,0
702,960.799987792969,927.799987792969,0,998.299987792969,919.200012207031,0,1241,0
703,960.200012207031,927.599975585938,0,997.400024414062,918.900024414062,0,1241,0
704,959.5,927.5,0,996.5,918.599975585938,0,1240,0
705,959.200012207031,927.400024414062,0,996,918,0,1241,0
706,959.200012207031,927.5,0,995.900024414062,917.299987792969,0,1242,0
707,959.5,927.5,0,995.599975585938,916.599975585938,0,1243,0
708,959.799987792969,927.700012207031,0,995.5,917,0,1242,0
709,960,927.900024414062,0,995.400024414062,917.200012207031,0,1241,0
710,960,927.799987792969,0,995.700012207031,917.400024414062,0,1240,0
711,959.299987792969,927.599975585938,0,995.599975585938,917.099975585938,0,1241,0
712,958.700012207031,927.400024414062,0,994.700012207031,917,0,1242,0
713,958.099975585938,927.299987792969,0,993.799987792969,917.099975585938,0,1244,0
714,957.299987792969,927.200012207031,0,993.099975585938,917.299987792969,0,1244,0
715,956.400024414062,927.099975585938,0,993.099975585938,917.400024414062,0,1244,0
716,956.200012207031,927,0,993.099975585938,917.200012207031,0,1244,0
717,957,927.099975585938,0,993.200012207031,916.799987792969,0,1243,0
718,957.299987792969,927.200012207031,0,993.400024414062,916.5,0,1242,0
719,956.900024414062,927.5,0,993.5,916.400024414062,0,1242,0
720,956.299987792969,927.599975585938,0,993.5,916.299987792969,0,1243,0
721,956,927.700012207031,0,993.599975585938,916.5,0,1244,0
722,955.700012207031,927.299987792969,0,993.799987792969,916.599975585938,0,1244,0
723,955.599975585938,927,0,994.200012207031,916.700012207031,0,1244,0
724,955.599975585938,927.200012207031,0,994.900024414062,916.900024414062,0,1244,0
725,956,927.700012207031,0,995.799987792969,917.5,0,1244,0
726,956.400024414062,928,0,996.400024414062,918,0,1242,0
727,956.700012207031,927.799987792969,0,996.5,918.700012207031,0,1241,0
728,956.599975585938,928,0,996.299987792969,919,0,1240,0
729,956.599975585938,928.299987792969,0,996,919.400024414062,0,1240,0
730,956.700012207031,928.599975585938,0,995.900024414062,919.5,0,1240,0
731,956.700012207031,928.400024414062,0,995.900024414062,919.5,0,1239,0
732,956.299987792969,928.299987792969,0,995.700012207031,919.400024414062,0,1238,0
733,956.099975585938,928.299987792969,0,995.5,919,0,1237,0
734,955.799987792969,928.299987792969,0,995.200012207031,918.700012207031,0,1237,0
735,955.799987792969,928.400024414062,0,995.099975585938,918.799987792969,0,1237,0
736,955.700012207031,928.200012207031,0,995.5,919.099975585938,0,1238,0
737,955.299987792969,927.900024414062,0,996,919.5,0,1238,0
738,954.799987792969,928,0,996.5,919.599975585938,0,1238,0
739,954.299987792969,928.400024414062,0,996.5,919.700012207031,0,1236,0
740,953.900024414062,928.400024414062,0,996.900024414062,919.799987792969,0,1235,0
741,953.799987792969,928.099975585938,0,997.400024414062,919.799987792969,0,1236,0
742,953.599975585938,927.900024414062,0,998,919.900024414062,0,1237,0
743,954.299987792969,928.299987792969,0,998.200012207031,920,0,1237,0
744,955,928.599975585938,0,998.099975585938,920.200012207031,0,1237,0
745,956,928.900024414062,0,997.799987792969,920.200012207031,0,1237,0
746,956.200012207031,928.799987792969,0,997.599975585938,920,0,1237,0
747,956.400024414062,929,0,997.599975585938,919.700012207031,0,1236,0
